Title,Link,Description,Answers
Blogger Post Problem,https://forum.imacros.net/viewtopic.php?f=15&t=7652&sid=cce5cad11886b5e8da078b59befd40f8,"['wanted to know how to add content from lets say an external file on my local drive, ex: if im making a squidoo.com page and i want it to go through the steps of adding content but instead of having the content in excel i want it to grab an article from a word or notepad file then post it...', ""Here's all about the different ways to use external data in a macro: http://wiki.imacros.net/Form_Filling#Data_Input""]"
Selecting from drop-down menus,https://forum.imacros.net/viewtopic.php?f=15&t=2042&sid=cce5cad11886b5e8da078b59befd40f8,"['As per the online user manual:\n\nhttp://www.iopus.com/imacros/help/cmd_tag.htm\n\nyou can select from a drop-down menu in various ways.  By position (or index), by name (prefix $) or by value (prefix %).  Please see the following website for an example:\n\nhttps://www.directseguros.es/servicios/ ... ames.html?\nCode: Select allFRAME F=5      \nREFRESH \nTAG POS=1 TYPE=SELECT FORM=NAME:CarSearch ATTR=NAME:tradeMarkId CONTENT=4\n\nProblem:  A Select via name on this list is not recognised.\nCode: Select allTAG POS=1 TYPE=SELECT FORM=NAME:CarSearch ATTR=NAME:tradeMarkId CONTENT=$bmw\n\nSolution:  Sometimes the name is not exactly as it appears, it may for example contain additional spaces before or after the name.  Therefore the wildcard character should be used:\nCode: Select allTAG POS=1 TYPE=SELECT FORM=NAME:CarSearch ATTR=NAME:tradeMarkId CONTENT=$*bmw*\n\nDaniel Kerr\niOpus Support', ""Very nice choice for an example site  \nHowever i'm still having issues with drop down menu's.\n\ni'll keep looking through the forums for other examples.\n\nBest,\n\nDeeboh"", 'What site do you have problems with?\n\n\nHannes']"
Manipulating a CSV file before running iMacros on it,https://forum.imacros.net/viewtopic.php?f=15&t=2875&sid=cce5cad11886b5e8da078b59befd40f8,"['Assume, your initial CSV consistes of numbers that are 10 digits long, like\n\n1234567890\n0987654321\n\nThe web form has three textfields into which you want to enter \na) the first four digits\nb) the next three\nc) the remaining three.\n\nIf you are not using the scripting interface (which would be the most easy solution), but need to make use of iMacros CSV reading abilities (via. {{!COL1}} to {{!COL3}}), a new CSV is needed that manipulates the numbers to look like this:\n\n1234,567,890\n0987,654,321\n\nHere\'s the script that does this manipulation (which you may find a useful basis for your own CSV file manipulations):\nCode: Select all\' Global Variables\nConst INPUT_CSV=""c:\\input.csv"" \t\t\'input file path\nConst OUTPUT_CSV=""c:\\output.csv"" \t\t\'input file path\n\n\' File access constants\nConst FOR_READING = 1\nConst FOR_WRITING = 2\nConst FOR_APPENDING = 8\n\n\'Open input for reading\nDim objFileSystemInput, inputFile\nSet objFileSystemInput = CreateObject(""Scripting.fileSystemObject"")\nSet inputFile = objFileSystemInput.OpenTextFile(INPUT_CSV, FOR_READING, true)\n\n\'Open outout for appending \nDim objFileSystemResult, outputFile\nSet objFileSystemResult = CreateObject(""Scripting.fileSystemObject"")\nSet outputFile = objFileSystemResult.OpenTextFile(OUTPUT_CSV, FOR_APPENDING, true)\n\nDim nextLine, part, tempPart\n\nDo while not inputFile.AtEndOfStream\n\t\n\tnextLine = inputFile.ReadLine()\n\t\n\t\'now here\'s the splitting\n\ttempPart = Left(nextLine,7) \'first 7 characters\n\t\n\tpart = Left(tempPart,4) \'first 4 characters\n\toutputFile.write(part+"","")\n\t\n\tpart = Right(tempPart,3) \'characters 5,6,7\n\toutputFile.write(part+"","")\n\t\n\tpart = Right(nextLine,3) \'characters 8,9,10\n\toutputFile.write(part+vbNewLine)\n\t\nloop\n\ninputFile.Close;\nset inputFile = nothing;\noutputFile.Close;\nset outputFile = nothing;\nset objFileSystemInput = nothing\nset ohjFileSystemResult = nothing\n\n\nmsgbox ""Done.""', 'this can be done also with UltraEdit or some other text editor by selecting column mode and putting the cursor on the position where we want to add the "","" character and by selecting shif scroll down on your CSV file until the EOF once done you go to the menu column and you select insert fill column and you put the "","" on the message box.\n\nAnother trick if the file is big you can keep the shift selected and scroll with the scrolling bar, or by going to search and GOTO ... after that you release the button, it make the manipulation of CSV file extremely easy this way.\n\nthe iMacro FF plugin has a bug that i want to report with the csv file, it doesn\'t filter out space, tabs, nor the """"\n\nthank for this great piece of software, i will buy the final version once it come out. ', 'Thanks for your additions!\n\nCould you describe the FF bug you found in another thread (in the FF forum) in more detail? \n\n\nHannes']"
VBS: read textfile to variable,https://forum.imacros.net/viewtopic.php?f=15&t=1851&sid=cce5cad11886b5e8da078b59befd40f8,"['This piece of code reads a textfile ""test.txt"" and stores its content in a variable ""inputData"" (taken from topic http://forum.imacros.net/viewtopic.php?p=4965#4965):\nCode: Select allDim objFileSystem, objInputFile\n\nSet objFileSystem = CreateObject(""Scripting.fileSystemObject"")\nSet objInputFile = objFileSystem.OpenTextFile(""test.txt"", 1)\n\n\' read everything in an array\ninputData = objInputFile.ReadAll\n\nobjInputFile.Close\n\nmsgbox inputData ', 'Can this be used with the Firefox .js support with textfiles which contain conditional statements? such as checking for captcha, if found prompt for captcha, else next iimplay, on captchaprompt ok button submit, iimplay...\n\nThat would make my life a whole lot simpler']"
Intermediate pages....how to handle..,https://forum.imacros.net/viewtopic.php?f=15&t=1497&sid=cce5cad11886b5e8da078b59befd40f8,"['One of the sites I\'m trying to script throws up an intermediate page sometimes but not always. When they do, there is only one, but I have no way to predicate when they will let me navigate from page one to page two, verses throwing in an intermediate page between one and two.\n\nAlso, the pages they throw up vary. Usually they are an ad-related page and have a button that says ""No thanks"".\n\nIs there any way to:\n1) write a script that can handle when these intermediate pages are and are not displayed.\n2) write a script that can always select a button with the text ""No thanks"" if the intermediate page is displayed?\n\n\nthanks in advance!!!!!', 'Hi,\n\nThe scripting solution to this, would be to check for this page after each page navigation, ie. have a macro that checks and is called from the script.  This would require the page having some recognisable feature, possibly the ""No Thanks"" button if this is the only page that has this.\n\nIf the page is found then another macro to click the button can be called.\n\nDaniel Kerr\niOpus Support', 'Thanks for the quick reply.\n\nI\'m not sure I understand.\nIs it possible to do this completely with a macro, or does it write scripting using some other language?\n\nAlso, I am not that familiar with windows scripting. If I want to distribute my macros to clients and they have fairly tight security on their machines, is it likely they will (1) not have scripting enabled, or (2) will get prompted often to approve running of the macros, scripts?\n\nAlso, are there any resources on your site aobut how to distrbute macros and whatever scripts are required to run them? I assume I need installshield or something?\n\nthanks again very much!\n\nTech Support wrote:Hi,\n\nThe scripting solution to this, would be to check for this page after each page navigation, ie. have a macro that checks and is called from the script.  This would require the page having some recognisable feature, possibly the ""No Thanks"" button if this is the only page that has this.\n\nIf the page is found then another macro to click the button can be called.\n\nDaniel Kerr\niOpus Support']"
Macro to mark and remove SPAM from web-based help desk,https://forum.imacros.net/viewtopic.php?f=15&t=6078&sid=cce5cad11886b5e8da078b59befd40f8,"['You may know that we use a web-based help desk. And sometimes we get 100s of autoreplies from a certain email address. See screenshot:\n\n\n\nkayako.png (11.09 KiB) Viewed 47269 times\n\n\n\nHow to remove them:\nCreate a quick macro that checks all tickets with the title ""automatic reply"":\nCode: Select allSET !EXTRACT_TEST_POPUP NO\nTAG POS={{!LOOP}} TYPE=A ATTR=TXT:automatic<SP>reply EXTRACT=TXT\nTAG POS=R-1 TYPE=INPUT:CHECKBOX FORM=NAME:ticketlist ATTR=NAME:itemid[] CONTENT=YES\nNotes: To avoid a click on the ticket link I added EXTRACT=TXT even so I do not want to extract anything. And to avoid the extraction test box I also added SET !EXTRACT_TEST_POPUP NO\n\nStart the macro with the LOOP button. Use any number as max. value. iMacros stops automatically when it can no longer find a matching checkbox.\n\n\n\nplay loop.png (5.16 KiB) Viewed 47262 times\n\n']"
Macro to create Google accounts automatically,https://forum.imacros.net/viewtopic.php?f=15&t=1467&sid=cce5cad11886b5e8da078b59befd40f8,"[""I am doing serious search engine testing and needed to create many Google accounts (semi-)automatically. The following macro asks for the desired user name and the CAPTCHA, and creates the account automatically. This includes clicking on the confirmation link in the email. Enjoy!   \nCode: Select allVERSION BUILD=5200814     \nTAB T=0     \nTAB CLOSEALLOTHERS   \nCLEAR  \nSET !ENCRYPTION NO\nURL GOTO=https://www.google.com/accounts/Login    \nPROMPT username !VAR1 \nTAG POS=1 TYPE=INPUT:PASSWORD FORM=ACTION:LoginAuth ATTR=ID:Passwd CONTENT= \nTAG POS=1 TYPE=B ATTR=TXT:Create<SP>an<SP>account<SP>now<SP>   \nSET !VAR2 {{!VAR1}}\nADD !VAR2 @temporaryinbox.com\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:createaccount ATTR=NAME:Email CONTENT={{!VAR2}} \nTAG POS=1 TYPE=INPUT:PASSWORD FORM=NAME:createaccount ATTR=NAME:Passwd CONTENT=YOURPASSWORD\nTAG POS=1 TYPE=INPUT:PASSWORD FORM=NAME:createaccount ATTR=NAME:PasswdAgain CONTENT=YOURPASSWORD\nTAG POS=1 TYPE=SELECT FORM=NAME:createaccount ATTR=ID:loc CONTENT=228 \nPROMPT captcha !VAR3\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:createaccount ATTR=ID:newaccountcaptcha CONTENT={{!VAR3}}\nTAG POS=1 TYPE=INPUT:SUBMIT FORM=NAME:createaccount ATTR=ID:submitbutton&&VALUE:I<SP>accept.<SP>Create<SP>my<SP>account.  \n'\n'Verify Email\n'\n'Wait a few seconds for email to arrive\nWAIT SECONDS=3\n'\n'\nURL GOTO=http://www.temporaryinbox.com/       \nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:quickaccess ATTR=NAME:inbox CONTENT={{!VAR1}}\nTAG POS=1 TYPE=INPUT:IMAGE FORM=NAME:quickaccess ATTR=NAME:&&VALUE:  \nTAG POS=1 TYPE=TD ATTR=TXT:accounts-noreply@google*\nTAG POS=1 TYPE=B ATTR=TXT:http://www.google.com/accounts/VE?c=* \nTAB T=2  \n'Done!    \n"", ""Have you updated this script by any chance?\n\nThe old one doesn't work any more...\n\n\nDeep"", 'Hi, I have a simular question, how to fill a form in Kijiji.com?\nI can fill most of field except a field: description. \nCould you please help?\nThank you so much!!!']"
How to run the same macro on different domains?,https://forum.imacros.net/viewtopic.php?f=15&t=2514&sid=cce5cad11886b5e8da078b59befd40f8,"['Question: \nLets say there are 2 or more different domains having the same \nwebform or webpage,\n\nDomain1.com/page.html  =  Domain2.com/page.html  =  Domain3.com/page.html The 3 webpages above are similar and have the \nsame details to be filled in, just clicking here and there selecting \nsome options, but they are on different domains. Is your macro able \nto fill them using the same script?\n\nAnswer:\n(1) If the web pages are very similar and the only difference is a different domain, then the macro will run without changes on all domains. You only need to remove the URL GOTO=.... command manually. This command was inserted during macro recording. After this is done, then you manually go to one of the domains and start the macro.\n\n(2) Alternatively, if there are differences between the forms, for example different link names or input boxes, you can still create one macro that works for all websites: \n\n(2a) Use the wildcard * to make the TAG command fit for all your domains\n\nExample: On domain1.com/page.htm  you get\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:newsletterform ATTR=NAME:Email CONTENT=test@test.com\n\nOn domain2.com/page.htm  you get\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:news  ATTR=NAME:Email CONTENT=test@test.com\n\n=> Create this TAG command\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:*news*  ATTR=NAME:Email CONTENT=test@test.com\n\n\n(2b) Assume, on domain3.com/page.htm  you have\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:subscribe  ATTR=NAME:Email CONTENT=test@test.com\n\nThen you can use two lines and add the ""ERRORIGNORE"" command:\nSET !ERRORIGNORE YES\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:*news*  ATTR=NAME:Email CONTENT=test@test.com\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:subscribe  ATTR=NAME:Email CONTENT=test@test.com\n\n=> iMacros will use the line that works and ignores the other.', ""So I've created a macro that will run on different domains.  The only problem I've encountered is that when the text boxes have asterisks by them, it doesn't output my information.\n\nFor example, a website will have a field but instead of naming it URL, the field is named *URL, (The * denoting that the field is required) and my macro doesn't work.\n\nHere is my code:\nTAG POS=1 TYPE=INPUT:TEXT ATTR=ID:*url* CONTENT=http://www.website.com\n\nAny help with this would be greatly appreciated."", ""I am on Firefox and need to put my phone number on certain places in different forms.  I'd like to be able to click where I want my phone number and have a macro write the phone number wherever the cursor happens to be.  How can I do that?  I set up a macro but it always went to the actual form I originally did it on.""]"
Manually editing a macro file if automatic recording fails,https://forum.imacros.net/viewtopic.php?f=15&t=5770&sid=cce5cad11886b5e8da078b59befd40f8,"['Some websites contain tricky AJAX elements that are not supported by the automatic recording. \n\n\n\nimacros hertz.es.png (84.76 KiB) Viewed 51560 times\n\n\n\nSo if you record a macro and replay fails, there are generally two options:\n\n1. Re-record the problem element in DirectScreenmode\n2. Edit the automatically generated macro file. \n\nThis post focuses on #2:\n\nWe try to reserve a car at hertz.es and record it. This is the automatically generated macro:\n\nURL GOTO=http://www.hertz.es/rentacar/index.jsp? ... mepage.jsp \nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:resForm ATTR=ID:pickupLocation CONTENT=ma \nTAG POS=1 TYPE=DIV ATTR=TXT:MAD,Madrid<SP>Airport,Madrid,España   \nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:resForm ATTR=ID:day1Pos CONTENT=11 \nTAG POS=1 TYPE=TD ATTR=TXT:22   \nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:resForm ATTR=ID:day2Pos CONTENT= \nTAG POS=4 TYPE=TD ATTR=TXT:29   \nTAG POS=1 TYPE=DIV ATTR=ID:reserveItButton   \n\nThe red lines do not work during replay, because the AJAX/Javascript  popups like the calendar control do not open. With DirectScreen clicks we can force them to open, but since our goal is ""only"" to reserve a car (= web automation, not testing the calendar control), we decide to fill in the fields directly.\n\nHow to edit the macro:\n1. We remove the lines that cause the error  (marked red above)\n2. We add the required information directly to the macro (marked green below)\n\nURL GOTO=http://www.hertz.es/rentacar/index.jsp? ... mepage.jsp \nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:resForm ATTR=ID:pickupLocation CONTENT=MAD,Madrid<SP>Airport,Madrid,España   \n\'TAG POS=1 TYPE=DIV ATTR=TXT:MAD,Madrid<SP>Airport,Madrid,España   \nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:resForm ATTR=ID:day1Pos CONTENT=22/10/2008\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:resForm ATTR=ID:day2Pos CONTENT=10/29/2008  \nTAG POS=1 TYPE=DIV ATTR=ID:reserveItButton\n\nVoila! The second macro works ']"
Creating Personalized Google Map,https://forum.imacros.net/viewtopic.php?f=15&t=5744&sid=cce5cad11886b5e8da078b59befd40f8,"[""\n\n\ngoogle.map.png (233.02 KiB) Viewed 41172 times\n\n\n\nCreating a new personalized Google map tricks the iMacros browser in two ways:\n\n1) The browser will not recognize the page being fully loaded\n2) The text fields for the map's title and description are not standard HTML form elements\n\nSolutions:\n1) Make the macro (temporarily) ignore timeout errors and shorten the timeout value.\n2) Use DS for filling these fields (including the deletion of the default title that Google presents).\n\nHere's the macro (you will need to be logged in to Google):Code: Select allVERSION BUILD=6221002\nTAB T=1\nTAB CLOSEALLOTHERS\n'work around iMacros not recognizing that the page is fully loaded\nSET !ERRORIGNORE YES\nSET !TIMEOUT 5\nURL GOTO=http://maps.google.com/maps\nSET !ERRORIGNORE NO\nSET !TIMEOUT 60\n'end of workaround\nTAG POS=1 TYPE=SPAN ATTR=TXT:My<SP>Maps\n'New page loaded\n'New page loaded\n'New page loaded\nTAG POS=1 TYPE=A ATTR=TXT:Create<SP>new<SP>map\nTAG POS=2 TYPE=INPUT:RADIO FORM=NAME:NoFormName ATTR=NAME:ms_index_status&&VALUE:on CONTENT=YES\nWAIT S=2\n'delete old title using DS \nDS CMD=MOVETO X=170 Y=342   \nDS CMD=LDOWN X=172 Y=340   \nDS CMD=LUP X=172 Y=340   \nDS CMD=MOVETO X=169 Y=338   \nDS CMD=MOVETO X=160 Y=335   \nDS CMD=LDOWN X=159 Y=335   \nDS CMD=MOVETO X=7 Y=339   \nDS CMD=LUP X=-1 Y=337   \nDS CMD=KEY X=7 Y=339 CONTENT={BACKSPACE}\n' enter new title and description usign DS\nDS CMD=MOVETO X=85 Y=329   \nDS CMD=LDOWN X=85 Y=329   \nDS CMD=LUP X=85 Y=329   \nDS CMD=KEY   CONTENT=title  \nDS CMD=MOVETO X=79 Y=388   \nDS CMD=LDOWN X=79 Y=388   \nDS CMD=LUP X=79 Y=388   \nDS CMD=KEY   CONTENT=description  \n\n\n[Edit: Added annotated screenshot]""]"
Looping through array of characters (VBS),https://forum.imacros.net/viewtopic.php?f=15&t=5634&sid=cce5cad11886b5e8da078b59befd40f8,"['If a web form needs to be queried for ""a"", ""b"", ""c"", ..., the following VBS script will show give you all the necessary steps:\nCode: Select allOption Explicit\n\n\'initiate iMacros instance \nDim iim1, iret\nset iim1 = CreateObject (""imacros"")\niret = iim1.iimInit()\n\nDim myArray, recentChar, macro\nmyArray=Array(""a"",""b"",""c"",""d"",""e"") \' may need to be completed :-)\n\nfor each recentChar in myArray\n\tmacro = ""CODE:""\n\tmacro = macro + ""TAB T=1     "" + vbNewLine\n\tmacro = macro + ""TAB CLOSEALLOTHERS     "" + vbNewLine\n\tmacro = macro + ""URL GOTO=http://www.google.com/     "" + vbNewLine\n\t\'######\n\t\' here we use the loop\'s character directly in the macro\n\t\'######\n\tmacro = macro + ""TAG POS=1 TYPE=INPUT:TEXT FORM=NAME:f ATTR=NAME:q CONTENT="" + Cstr(recentChar) + vbNewLine\n\tmacro = macro + ""TAG POS=1 TYPE=INPUT:SUBMIT FORM=NAME:f ATTR=NAME:btnG  ""\n\tiret = iim1.iimPlay(macro)\nnext\n']"
PHPBB automated login demo macro,https://forum.imacros.net/viewtopic.php?f=15&t=5519&sid=cce5cad11886b5e8da078b59befd40f8,"[""Here is the macro that we use to automate login to this PHPBB3-based forum.\nCode: Select allVERSION BUILD=6070911 RECORDER=FX\nTAB T=1\n'Remember the start URL (typically a forum post that we want to reply to)\nSET !VAR1 {{!URLCURRENT}}\nURL GOTO=http://forum.imacros.net/\nTAG POS=1 TYPE=A ATTR=TXT:Login\nTAG POS=1 TYPE=INPUT:TEXT FORM=ACTION:http://forum.imacros.net/ucp.php?mode=login ATTR=ID:username CONTENT=tech<SP>support\nSET !ENCRYPTION YES\nTAG POS=1 TYPE=INPUT:PASSWORD FORM=ACTION:http://forum.imacros.net/ucp.php?mode=login ATTR=ID:password CONTENT=2E770CE3B82CA141494849E33AE455B1403B9660B6F8EBBF682145EB52925D58\nTAG POS=1 TYPE=INPUT:SUBMIT FORM=ID:login ATTR=NAME:login&&VALUE:Login\n'Navigate Back to the original forum post\nURL GOTO={{!VAR1}}\n\nThe built-in !URLCURRENT variable is used to navigate back to the start web page (forum post) after the login is completed.\n\nThe original encrypted password string is included in the macro. This is secure, because it requires the master password phrase to decrypt it.\n\nIn Firefox, you can also add the macro to the bookmarks toolbar:\n\n\n\n\n""]"
"VBS Date manipulation/formatting (calculating ""yesterday"")",https://forum.imacros.net/viewtopic.php?f=15&t=5191&sid=cce5cad11886b5e8da078b59befd40f8,"['Here\'s a script to generate a CSV file that contains yesterday\'s date in several formats you can then use in your macro (via the DATASOURCE commands, cf. http://wiki.imacros.net/CSV_input). The result looks like this:\nCode: Select all7/27/2008,7,07,27,27,2008,July\n\nScript:\nCode: Select allOption Explicit\n\nDim INPUT_FILE_PATH\n\n\' GLOBAL VARIABLES (change to adjust to your system)\nINPUT_FILE_PATH = ""c:\\yesterday.date.csv""\n\n\' File access constants\nConst FOR_READING = 1\nConst FOR_WRITING = 2\nConst FOR_APPENDING = 8 \n\n\'open file for writing\nDim objFileSystem,inputFile\nSet objFileSystem = CreateObject(""Scripting.fileSystemObject"")\nSet inputFile = objFileSystem.OpenTextFile(INPUT_FILE_PATH, FOR_WRITING, true)\n\n\'calculate yesterday date by adding ""-1"" days to today\'s date\nDim todayDate\ntodayDate=Date()\nmsgbox ""today: ""+Cstr(todayDate)\n\nDim yesterdayDate\nyesterdayDate = DateAdd(""d"", -1, todayDate)\nmsgbox ""yesterday: ""+Cstr(yesterdayDate)\n\n\' format yesterday\'s date, so the result file contains the full date, and month, day, year in several formats\nDim yesterdayDay, yesterdayDayDoubleDigit, yesterdayMonth, yesterdayMonthDoubleDigit, yesterdayYear, yesterdayMonthName\nyesterdayDay = Day(yesterdayDate)\nif yesterdayDay < 10 then\n\tyesterdayDayDoubleDigit = ""0""+Cstr(yesterdayDay)\nelse\n\tyesterdayDayDoubleDigit = yesterdayDay\nend if\n\nyesterdayMonth = Month(yesterdayDate)\nif yesterdayMonth < 10 then\n\tyesterdayMonthDoubleDigit = ""0"" + Cstr(yesterdayMonth)\nelse\n\tyesterdayMonthDoubleDigit = yesterdayMonth\nend if\n\nyesterdayYear = Year(yesterdayDate)\nyesterdayMonthName = MonthName(yesterdayMonth)\n\n\n\'display results\nmsgbox ""in separate columns - full date: ""+Cstr(yesterdayDate)+"", month: ""+Cstr(yesterdayMonth) + "", month (double digit): ""+Cstr(yesterdayMonthDoubleDigit)+"", day: ""+Cstr(yesterdayDay) + "", day (double digit): ""+Cstr(yesterdayDayDoubleDigit)+"", year: ""+Cstr(yesterdayYear)+"", monthname: "" + Cstr(yesterdayMonthName)\n\n\'write date strings to file\ninputFile.write(Cstr(yesterdayDate) + "","" + Cstr(yesterdayMonth) + "","" + Cstr(yesterdayMonthDoubleDigit) + "","" + Cstr(yesterdayDay) + "","" + Cstr(yesterdayDayDoubleDigit)+ "","" + Cstr(yesterdayYear) + "","" +Cstr(yesterdayMonthName)) \n\n\'close fileaccess\ninputFile.close()\nobjFileSystem = NULL \n\nmsgbox ""End.""\n\n\' exit script\nWscript.Quit()\n\n[Edit: Added link to DATASOURCE commands (for using CSV input in macro)]', 'In the solution above, the calculated date was written to a CSV file, so some macro can use it using the DATASOURCE commands.\n\nIn the sample below, the VBS code uses the calculated date directly in creating the macro (in a string):\nCode: Select allOption Explicit\n\n\'calculate date. here: adding 4 months to today\'s date\nDim todayDate\ntodayDate=Date()\nmsgbox ""today: ""+Cstr(todayDate)\n\nDim newDate\nnewDate = DateAdd(""m"", 4, todayDate)\nmsgbox ""calculated date: ""+Cstr(newDate)\n\n\'initiate iMacros instance, create macro using the calculated date, then run macro\n\' (note that you could also pass the newDate value via iimSet() to some macro which is then called directly by iimPlay() - instead of putting the macro in a string, as it is done, here)\nDim iim1, iret\nset iim1 = CreateObject (""imacros"")\niret = iim1.iimInit()\n\nDim macro\nmacro = ""CODE:""\nmacro = macro + ""VERSION BUILD=6200707     "" + vbNewLine\nmacro = macro + ""TAB T=1     "" + vbNewLine\nmacro = macro + ""TAB CLOSEALLOTHERS     "" + vbNewLine\nmacro = macro + ""URL GOTO=http://www.iopus.com/imacros/demo/v6/f1/form.asp     "" + vbNewLine\n\' in this line, we use the calculated date\nmacro = macro + ""TAG POS=1 TYPE=TEXTAREA FORM=NAME:TestForm ATTR=NAME:Remarks CONTENT=""+Cstr(newDate)\n\niret = iim1.iimPlay(macro)\n\n\'end\nmsgbox ""End. We\'ll close the iMacros browser and exit the VBS script.""\n\n\'close iMacros instance\niret = iim1.iimExit()\n\n\' exit script\nWscript.Quit()']"
Automate the GMail (Googlemail) Web Interface,https://forum.imacros.net/viewtopic.php?f=15&t=2542&sid=cce5cad11886b5e8da078b59befd40f8,"[""The standard Google Gmail web interface makes very heavy use of Javascript. iMacros can fully automate it, but it requires the use of WINCLICK to automate certain clicks. If you prefer to use the TAG command instead, there is a good workaround: \n\n\n\nSimply switch the Google Mail view from standard to basic HTML.\n\nNote: The basic HTML view is a little different than what you're used to because the following features aren't available: \n-Filter creation \n-Settings (Including Forwarding and POP) \n-Spell checker \n-Keyboard shortcuts \n-Address auto-complete \n-Custom From addresses"", 'Update: Google changed its standard GMAIL interface. The HTML id tags are now randomly generated and change with each new page load. \n\nExample:\nRecorded TAG line for the ""email to"" field:\nFirst recording:\nTAG POS=1 TYPE=TEXTAREA FORM=NAME:NoFormName ATTR=ID:1eq7 CONTENT=test@example.com\n\nSecond recording:\nTAG POS=1 TYPE=TEXTAREA FORM=NAME:NoFormName ATTR=ID:1es5 CONTENT=test@example.com\n\nSolution: Use the basic HTML interface (as mentioned in the post above). The basic HTML view uses fixed ID (NAME) tags:\n\nTAG POS=1 TYPE=TEXTAREA FORM=NAME:f ATTR=NAME:to CONTENT=test@example.com\nTAG POS=1 TYPE=INPUT:TEXT FORM=NAME:f ATTR=NAME:subject CONTENT=iMacros\nTAG POS=1 TYPE=TEXTAREA FORM=NAME:f ATTR=NAME:body CONTENT=iMacros<SP>works']"
Secure Gmail Login,https://forum.imacros.net/viewtopic.php?f=15&t=3360&sid=cce5cad11886b5e8da078b59befd40f8,"['Gmail uses by default the secure HTTPS only for the login itself. Afterwards the normal HTTP protocol is used, which means that anybody can read your Gmail emails if you work with Gmail over a unencrypted wireless connection, which is the default on open hotspots.\n\nThe solution is to use an iMacros macro that makes sure you are always connected via the secure HTTPS SSL connection.\n\nRead the complete article in our Wiki: Secure Gmail connection']"
WINCLICK and File Upload fields,https://forum.imacros.net/viewtopic.php?f=15&t=2857&sid=cce5cad11886b5e8da078b59befd40f8,['Q: When I fill in a Upload File field as described in Demo-FileUpload.iim the path iMacros records contains strange looking characters eg. I enter c:\\test\\image.jpg and in the macro it says c¾ÛtestÛimage¾jpg (or similar)\n\nA: iMacros does not yet support the use of special characters in this context. Please open the macro after recording and change the CONTENT parameter of the WINCLICK command manually.\n\niOpus Support']
First Steps (2 tutorials for approaching iMacros slowly),https://forum.imacros.net/viewtopic.php?f=15&t=2615&sid=cce5cad11886b5e8da078b59befd40f8,"['The following two demos show how to get started with recording and replaying macros using the iMacros plugin for IE or FireFox or the iMacros browser (actually the demo shows the FF plugin, but the others work exactly the same).\n\nDemo 1:Recording / Replaying (Using iMacros as a kind of bookmark)\nhttp://forum.imacros.net/_uploads/FF_simple_bookmark.htm\n\nDemo 2: Following links, filling out textboxes, clicking link images (Using iMacros as an ""intelligent"" bookmark)\nhttp://forum.imacros.net/_uploads/FF_simple_textfield.htm\n\n\nIf you haven\'t yet installed iMacros, just download it at http://iopus.com/download/\n\n\nEnjoy,\n\nHannes']"
how to automate gmail login,https://forum.imacros.net/viewtopic.php?f=15&t=1520&sid=cce5cad11886b5e8da078b59befd40f8,"['Hi all,\ncan ayone tellme how to automate gmail login.\nAlso links for free tutorials on internet or web automation task.\n\nRegards\nSatish', ""Hi,\n\nThe following macro is as suggested by the iMacros recorder and works for me.  You will need to put your own username and password in the content parameter of the TAG commands:\nCode: Select allVERSION BUILD=5200814     \nTAB T=1     \nTAB CLOSEALLOTHERS     \nURL GOTO=https://www.gmail.com\nSIZE X=801 Y=602    \nTAG POS=1 TYPE=INPUT:TEXT FORM=ACTION:ServiceLoginAuth ATTR=ID:Email CONTENT=<username>\nTAG POS=1 TYPE=INPUT:PASSWORD FORM=ACTION:ServiceLoginAuth ATTR=ID:Passwd CONTENT=<password> \nTAG POS=1 TYPE=INPUT:SUBMIT FORM=ACTION:ServiceLoginAuth ATTR=NAME:null&&VALUE:Sign<SP>in  \n'Comment: New page loaded \n\nDaniel Kerr\niOpus Support"", 'Hi Daniel,\nthe code given by u is not accepting the password\n\nsatish']"
